행정구역,2021년_계_총인구수,2021년_계_연령구간인구수,2021년_계_0세,2021년_계_1세,2021년_계_2세,2021년_계_3세,2021년_계_4세,2021년_계_5세,2021년_계_6세,2021년_계_7세,2021년_계_8세,2021년_계_9세,2021년_계_10세,2021년_계_11세,2021년_계_12세
서울특별시  (1100000000),"9,509,458","798,371","43,410","44,904","48,900","51,445","55,879","62,987","67,581","66,923","67,174","74,480","71,911","72,979","69,798"
서울특별시 종로구 (1111000000),"144,683","9,826",484,463,564,564,645,761,851,868,823,961,890,"1,016",936
서울특별시 중구 (1114000000),"122,499","8,088",569,568,574,587,629,691,681,628,676,696,656,601,532
서울특별시 용산구 (1117000000),"222,953","16,745","1,133","1,078","1,168","1,184","1,242","1,387","1,357","1,351","1,310","1,443","1,384","1,402","1,306"
서울특별시 성동구 (1120000000),"285,990","24,434","1,721","1,808","1,838","1,865","1,947","2,112","2,042","1,973","1,935","1,981","1,853","1,756","1,603"
서울특별시 광진구 (1121500000),"339,996","24,594","1,353","1,313","1,509","1,514","1,649","1,819","2,068","2,042","2,130","2,347","2,286","2,340","2,224"
서울특별시 동대문구 (1123000000),"337,400","26,014","1,511","1,630","1,819","1,792","1,953","2,096","2,265","2,135","2,080","2,309","2,172","2,204","2,048"
서울특별시 중랑구 (1126000000),"387,350","28,394","1,730","1,708","1,898","1,995","2,091","2,359","2,383","2,209","2,379","2,533","2,452","2,399","2,258"
서울특별시 성북구 (1129000000),"430,528","37,470","1,920","2,052","2,209","2,454","2,631","3,001","3,243","3,185","3,143","3,488","3,515","3,428","3,201"
서울특별시 강북구 (1130500000),"299,182","19,875",945,"1,015","1,081","1,235","1,420","1,557","1,600","1,597","1,766","1,932","1,887","1,936","1,904"
서울특별시 도봉구 (1132000000),"317,366","23,697","1,108","1,193","1,396","1,515","1,673","1,885","1,985","2,081","1,954","2,254","2,248","2,255","2,150"
서울특별시 노원구 (1135000000),"510,956","43,819","2,164","2,224","2,394","2,476","2,866","3,252","3,652","3,686","3,729","4,215","4,214","4,463","4,484"
서울특별시 은평구 (1138000000),"473,307","37,955","2,003","2,107","2,296","2,464","2,663","3,000","3,274","3,110","3,162","3,576","3,417","3,521","3,362"
서울특별시 서대문구 (1141000000),"304,819","25,229","1,443","1,531","1,557","1,679","1,852","2,068","2,165","2,201","2,120","2,265","2,087","2,173","2,088"
서울특별시 마포구 (1144000000),"368,905","31,479","1,873","1,896","2,037","2,204","2,303","2,694","2,729","2,631","2,433","2,861","2,580","2,675","2,563"
서울특별시 양천구 (1147000000),"447,302","43,445","1,755","1,866","2,103","2,292","2,662","3,082","3,567","3,793","3,944","4,470","4,427","4,751","4,733"
서울특별시 강서구 (1150000000),"574,315","49,126","2,815","2,928","3,169","3,240","3,467","3,999","4,158","4,090","4,133","4,647","4,404","4,128","3,948"
서울특별시 구로구 (1153000000),"396,754","34,635","2,135","2,151","2,356","2,438","2,494","2,763","2,920","2,769","2,881","3,060","2,971","2,974","2,723"
서울특별시 금천구 (1154500000),"230,811","15,486",965,"1,007","1,035","1,094","1,144","1,249","1,351","1,218","1,172","1,441","1,288","1,306","1,216"
서울특별시 영등포구 (1156000000),"376,837","31,640","2,193","2,162","2,461","2,427","2,532","2,710","2,699","2,540","2,420","2,612","2,405","2,345","2,134"
서울특별시 동작구 (1159000000),"385,483","30,709","1,721","1,860","1,911","2,113","2,263","2,506","2,754","2,633","2,506","2,725","2,584","2,679","2,454"
서울특별시 관악구 (1162000000),"485,699","27,020","1,544","1,638","1,693","1,711","1,934","2,136","2,297","2,218","2,246","2,426","2,486","2,437","2,254"
서울특별시 서초구 (1165000000),"412,279","45,280","2,018","2,100","2,303","2,699","2,860","3,297","3,820","3,971","4,095","4,536","4,424","4,677","4,480"
서울특별시 강남구 (1168000000),"533,042","51,721","2,100","2,130","2,451","2,618","3,064","3,493","4,170","4,429","4,838","5,433","5,499","5,680","5,816"
서울특별시 송파구 (1171000000),"658,338","65,652","3,541","3,739","4,073","4,247","4,663","5,404","5,586","5,542","5,491","6,087","5,870","5,847","5,562"
서울특별시 강동구 (1174000000),"462,664","46,038","2,666","2,737","3,005","3,038","3,232","3,666","3,964","4,023","3,808","4,182","3,912","3,986","3,819"
