시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자,제공기관코드,제공기관명
어린이집,삼도어린이집,제주특별자치도 제주시 남성로26길 30,제주특별자치도 제주시 삼도이동 235-25,33.50688847,126.523851,자치경찰단 교통정보센터,동부경찰서,Y,2,15,2021-07-06,6500000,제주특별자치도
어린이집,제주관광대학부속어린이집,제주특별자치도 제주시 신대로20길 23,제주특별자치도 제주시 연동 297,33.48355169,126.4938771,자치경찰단 교통정보센터,서부경찰서,Y,6,11~18,2021-07-06,6500000,제주특별자치도
어린이집,제주어린이집,제주특별자치도 제주시 아봉로 77,제주특별자치도 제주시 아라이동 938-2,33.47851287,126.5523432,자치경찰단 교통정보센터,동부경찰서,Y,1,9~15,2021-07-06,6500000,제주특별자치도
초등학교,월랑초등학교,제주특별자치도 제주시 남녕로 63,제주특별자치도 제주시 노형동 3764-9,33.49312138,126.4784428,자치경찰단 교통정보센터,서부경찰서,Y,4,7,2021-07-06,6500000,제주특별자치도
유치원,월랑초등학교 병설유치원,제주특별자치도 제주시 남녕로 63,제주특별자치도 제주시 노형동 3764-9,33.49312138,126.4784428,자치경찰단 교통정보센터,서부경찰서,Y,3,8~35,2021-07-06,6500000,제주특별자치도
초등학교,납읍초등학교,제주특별자치도 제주시 애월읍 납읍로2길 47,제주특별자치도 제주시 애월읍 납읍리 1504-2,33.43543559,126.3306486,자치경찰단 교통정보센터,서부경찰서,Y,3,15,2021-07-06,6500000,제주특별자치도
유치원,납읍초등학교 병설유치원,제주특별자치도 제주시 애월읍 납읍로2길 47,제주특별자치도 제주시 애월읍 납읍리 1504-2,33.43543559,126.3306486,자치경찰단 교통정보센터,서부경찰서,Y,2,10~15,2021-07-06,6500000,제주특별자치도
초등학교,추자초등학교,제주특별자치도 제주시 추자면 대서3길 10,제주특별자치도 제주시 추자면 대서리 57,33.96434138,126.2962962,자치경찰단 교통정보센터,동부경찰서,N,1,23,2021-07-06,6500000,제주특별자치도
유치원,추자초등학교 병설유치원,제주특별자치도 제주시 추자면 대서3길 10,제주특별자치도 제주시 추자면 대서리 57,33.96434138,126.2962962,자치경찰단 교통정보센터,동부경찰서,N,1,9~14,2021-07-06,6500000,제주특별자치도
어린이집,둥지어린이집,제주특별자치도 제주시 애월읍 하광로 199,제주특별자치도 제주시 애월읍 하귀1리 1101-2,33.4703078,126.419494,자치경찰단 교통정보센터,서부경찰서,Y,1,6~17,2021-07-06,6500000,제주특별자치도
어린이집,선덕어린이집,제주특별자치도 제주시 정실3길 57,제주특별자치도 제주시 오라이동 872-1,33.47608158,126.5115052,자치경찰단 교통정보센터,서부경찰서,Y,2,24,2021-07-06,6500000,제주특별자치도
어린이집,동연어린이집,제주특별자치도 제주시 고사마루길 59,제주특별자치도 제주시 노형동 2197-1,33.4755071,126.472209,자치경찰단 교통정보센터,서부경찰서,N,3,4~10,2021-07-06,6500000,제주특별자치도
어린이집,청록어린이집,제주특별자치도 제주시 고사마루길 55,제주특별자치도 제주시 노형동 2194-4,33.47587131,126.4719274,자치경찰단 교통정보센터,서부경찰서,Y,3,4~14,2021-07-06,6500000,제주특별자치도
어린이집,삼화어린이집,제주특별자치도 제주시 선사로6길 85-1,제주특별자치도 제주시 삼양일동 1579-9,33.52914555,126.5929841,자치경찰단 교통정보센터,동부경찰서,Y,5,8,2021-07-06,6500000,제주특별자치도
초등학교,느리울초등학교,대전광역시 서구 관저로196,대전광역시 서구 관저동 1396,36.29888811,127.3442527,대전광역시 서구청,서부경찰서,Y,3,25,2021-10-27,3660000,대전광역시 서구
초등학교,느리울초등학교,대전광역시 서구 관저로196,대전광역시 서구 관저동 1396,36.29888811,127.3442527,대전광역시 서구청,서부경찰서,Y,3,25,2021-10-27,3660000,대전광역시 서구
초등학교,느리울초등학교,대전광역시 서구 관저로196,대전광역시 서구 관저동 1396,36.29888811,127.3442527,대전광역시 서구청,서부경찰서,Y,3,25,2021-10-27,3660000,대전광역시 서구
유치원,한양유치원,대전광역시 서구 계룡로571번길 65,,36.3438214000,127.3867480708,대전광역시 서구청,둔산경찰서,Y,1,10~20,2021-10-27,3660000,대전광역시 서구
유치원,한양유치원,대전광역시 서구 계룡로571번길 65,,36.3438214000,127.3867480708,대전광역시 서구청,둔산경찰서,Y,1,10~20,2021-10-27,3660000,대전광역시 서구
유치원,한양유치원,대전광역시 서구 계룡로571번길 65,,36.3438214000,127.3867480708,대전광역시 서구청,둔산경찰서,Y,1,10~20,2021-10-27,3660000,대전광역시 서구
유치원,명화유치원,대전광역시 서구 조달청길 180,대전광역시 서구 도마동 499,36.3189113746,127.3819942304,대전광역시 서구청,서부경찰서,Y,1,10,2021-10-27,3660000,대전광역시 서구
유치원,명화유치원,대전광역시 서구 조달청길 180,대전광역시 서구 도마동 499,36.3189113746,127.3819942304,대전광역시 서구청,서부경찰서,Y,1,10,2021-10-27,3660000,대전광역시 서구
유치원,명화유치원,대전광역시 서구 조달청길 180,대전광역시 서구 도마동 499,36.3189113746,127.3819942304,대전광역시 서구청,서부경찰서,Y,1,10,2021-10-27,3660000,대전광역시 서구
유치원,무지개유치원,대전광역시 서구 도솔로 173,대전광역시 서구 도마동 19-1,36.3261183121,127.3736692,대전광역시 서구청,서부경찰서,Y,1,6~12,2021-10-27,3660000,대전광역시 서구
유치원,무지개유치원,대전광역시 서구 도솔로 173,대전광역시 서구 도마동 19-1,36.3261183121,127.3736692,대전광역시 서구청,서부경찰서,Y,1,6~12,2021-10-27,3660000,대전광역시 서구
유치원,무지개유치원,대전광역시 서구 도솔로 173,대전광역시 서구 도마동 19-1,36.3261183121,127.3736692,대전광역시 서구청,서부경찰서,Y,1,6~12,2021-10-27,3660000,대전광역시 서구
유치원,옥토유치원,대전광역시 서구 정림로 11,,36.3019971552,127.3654013497,대전광역시 서구청,서부경찰서,Y,2,6~8,2021-10-27,3660000,대전광역시 서구
유치원,옥토유치원,대전광역시 서구 정림로 11,,36.3019971552,127.3654013497,대전광역시 서구청,서부경찰서,Y,2,6~8,2021-10-27,3660000,대전광역시 서구
유치원,옥토유치원,대전광역시 서구 정림로 11,,36.3019971552,127.3654013497,대전광역시 서구청,서부경찰서,Y,2,6~8,2021-10-27,3660000,대전광역시 서구
어린이집,공립새솔어린이집,제주특별자치도 제주시 애월읍 하귀11길 32,제주특별자치도 제주시 애월읍 하귀1리 201-6,33.48335502,126.4136057,자치경찰단 교통정보센터,서부경찰서,Y,2,14,2021-07-06,6500000,제주특별자치도
어린이집,애육어린이집,제주특별자치도 제주시 다랑곶6길 61,제주특별자치도 제주시 노형동 1035-16,33.49176183,126.4777899,자치경찰단 교통정보센터,서부경찰서,Y,2,13,2021-07-06,6500000,제주특별자치도
어린이집,전원어린이집,제주특별자치도 제주시 구남동8길 1-2,제주특별자치도 제주시 이도이동 2020-4,33.48768139,126.5395734,자치경찰단 교통정보센터,동부경찰서,Y,,,2021-07-06,6500000,제주특별자치도
어린이집,제주영락어린이집,제주특별자치도 제주시 동광로23길 15,제주특별자치도 제주시 일도이동 153-5,33.51135415,126.542957,자치경찰단 교통정보센터,동부경찰서,Y,,,2021-07-06,6500000,제주특별자치도
어린이집,딸기아트어린이집,제주특별자치도 제주시 황새왓길 29-1,제주특별자치도 제주시 일도이동 8-1,33.49818135,126.5523676,자치경찰단 교통정보센터,동부경찰서,Y,,,2021-07-06,6500000,제주특별자치도
초등학교,더럭초등학교,제주특별자치도 제주시 애월읍 하가로 195,제주특별자치도 제주시 애월읍 하가리 1580-1,33.45359494,126.3451713,자치경찰단 교통정보센터,서부경찰서,Y,,,2021-07-06,6500000,제주특별자치도
