연도,대상사고 구분명,법정동코드,행정구,사고건수,사고건수 구성비,사망자수,사망자수 구성비,치사율,부상자수,부상자수 구성비,인구10만명당 사고건수,자동차1만대당 사고건수,과속,중앙선 침범,신호위반,안전거리 미확보,안전운전 의무 불이행,보행자 보호의무 위반,기타,차대사람,차대차,차량단독,철길건널목
2016,전체,1101,종로구,1299,0.59,9,0.21,0.69,1748,0.53,802.24,206.46,0,31,143,247,678,37,106,393,860,46,0
2016,어린이사고,1101,종로구,22,0.2,0,0,0,25,0.18,,,,,,,,,,,,,
2016,노인사고,1101,종로구,173,0.48,5,0.29,2.89,177,0.46,,,,,,,,,,,,,
2016,보행자사고,1101,종로구,394,0.8,7,0.41,1.78,397,0.8,,,,,,,,,,,,,
2016,자전거사고,1101,종로구,22,0.37,0,0,0,23,0.37,,,,,,,,,,,,,
2016,야간사고,1101,종로구,588,0.62,7,0.32,1.19,834,0.58,,,,,,,,,,,,,
2016,어린이보행사고,1101,종로구,8,0.19,0,0,0,8,0.18,,,,,,,,,,,,,
2016,스쿨존내어린이사고,1101,종로구,4,0.83,0,0,0,4,0.78,,,,,,,,,,,,,
2016,고령운전사고,1101,종로구,163,0.67,2,0.26,1.23,214,0.6,,,,,,,,,,,,,
2016,고령보행사고,1101,종로구,76,0.67,5,0.58,6.58,71,0.66,,,,,,,,,,,,,
2016,뺑소니사고,1101,종로구,30,0.36,0,0,0,41,0.33,,,,,,,,,,,,,
2016,무면허사고,1101,종로구,12,0.3,0,0,0,19,0.33,,,,,,,,,,,,,
2017,전체,1101,종로구,1190,0.55,13,0.31,1.09,1689,0.52,724.47,185.31,1,35,146,226,598,43,90,333,810,47,0
2017,어린이사고,1101,종로구,34,0.31,0,0,0,40,0.3,,,,,,,,,,,,,
2017,노인사고,1101,종로구,192,0.51,7,0.4,3.65,200,0.49,,,,,,,,,,,,,
2017,보행자사고,1101,종로구,334,0.7,8,0.48,2.4,339,0.71,,,,,,,,,,,,,
2017,자전거사고,1101,종로구,29,0.51,0,0,0,29,0.49,,,,,,,,,,,,,
2017,야간사고,1101,종로구,514,0.57,9,0.43,1.75,767,0.56,,,,,,,,,,,,,
2017,어린이보행사고,1101,종로구,13,0.32,0,0,0,13,0.32,,,,,,,,,,,,,
2017,스쿨존내어린이사고,1101,종로구,3,0.63,0,0,0,3,0.62,,,,,,,,,,,,,
2017,고령운전사고,1101,종로구,180,0.67,4,0.47,2.22,276,0.71,,,,,,,,,,,,,
2017,고령보행사고,1101,종로구,78,0.65,5,0.55,6.41,74,0.66,,,,,,,,,,,,,
2017,PM사고,1101,종로구,2,1.71,0,0,0,2,1.61,,,,,,,,,,,,,
2017,뺑소니사고,1101,종로구,23,0.29,0,0,0,38,0.33,,,,,,,,,,,,,
2017,무면허사고,1101,종로구,14,0.27,0,0,0,24,0.32,,,,,,,,,,,,,
2018,전체,1101,종로구,1134,0.52,6,0.16,0.53,1546,0.48,695.59,177.51,1,24,133,216,585,34,95,336,757,41,0
2018,어린이사고,1101,종로구,28,0.28,0,0,0,33,0.26,,,,,,,,,,,,,
2018,노인사고,1101,종로구,191,0.49,1,0.06,0.52,208,0.5,,,,,,,,,,,,,
2018,보행자사고,1101,종로구,340,0.74,4,0.27,1.18,341,0.73,,,,,,,,,,,,,
2018,자전거사고,1101,종로구,21,0.44,0,0,0,22,0.44,,,,,,,,,,,,,
2018,야간사고,1101,종로구,534,0.59,3,0.16,0.56,742,0.55,,,,,,,,,,,,,
2018,어린이보행사고,1101,종로구,8,0.22,0,0,0,8,0.22,,,,,,,,,,,,,
2018,스쿨존내어린이사고,1101,종로구,6,1.38,0,0,0,6,1.27,,,,,,,,,,,,,
2018,고령운전사고,1101,종로구,205,0.68,0,0,0,295,0.68,,,,,,,,,,,,,
2018,고령보행사고,1101,종로구,80,0.68,1,0.12,1.25,79,0.71,,,,,,,,,,,,,
2018,PM사고,1101,종로구,3,1.33,0,0,0,3,1.26,,,,,,,,,,,,,
2018,뺑소니사고,1101,종로구,17,0.22,0,0,0,28,0.25,,,,,,,,,,,,,
2018,무면허사고,1101,종로구,7,0.13,0,0,0,7,0.09,,,,,,,,,,,,,
2019,전체,1101,종로구,1133,0.49,6,0.18,0.53,1559,0.46,734.68,178.93,0,24,155,188,613,45,68,305,781,47,0
2019,어린이사고,1101,종로구,20,0.18,0,0,0,25,0.18,,,,,,,,,,,,,
2019,노인사고,1101,종로구,184,0.45,2,0.13,1.09,201,0.45,,,,,,,,,,,,,
2019,보행자사고,1101,종로구,308,0.66,3,0.23,0.97,319,0.68,,,,,,,,,,,,,
2019,자전거사고,1101,종로구,19,0.34,1,1.27,5.26,18,0.3,,,,,,,,,,,,,
2019,야간사고,1101,종로구,480,0.53,5,0.31,1.04,672,0.5,,,,,,,,,,,,,
2019,어린이보행사고,1101,종로구,7,0.18,0,0,0,7,0.18,,,,,,,,,,,,,
2019,고령운전사고,1101,종로구,190,0.57,0,0,0,276,0.57,,,,,,,,,,,,,
2019,고령보행사고,1101,종로구,59,0.48,2,0.27,3.39,58,0.5,,,,,,,,,,,,,
2019,PM사고,1101,종로구,1,0.22,0,0,0,1,0.21,,,,,,,,,,,,,
2019,뺑소니사고,1101,종로구,20,0.28,1,1.11,5,27,0.26,,,,,,,,,,,,,
2019,무면허사고,1101,종로구,15,0.29,0,0,0,22,0.3,,,,,,,,,,,,,
2020,전체,1101,종로구,903,0.43,5,0.16,0.55,1224,0.4,567.94,142.25,0,31,108,166,463,30,70,223,648,32,0
2020,어린이사고,1101,종로구,16,0.19,0,0,0,19,0.18,,,,,,,,,,,,,
2020,노인사고,1101,종로구,147,0.42,2,0.15,1.36,153,0.4,,,,,,,,,,,,,
2020,보행자사고,1101,종로구,226,0.62,2,0.18,0.88,234,0.63,,,,,,,,,,,,,
2020,자전거사고,1101,종로구,43,0.33,1,0.51,2.33,46,0.34,,,,,,,,,,,,,
2020,야간사고,1101,종로구,377,0.45,1,0.07,0.27,520,0.43,,,,,,,,,,,,,
2020,어린이보행사고,1101,종로구,2,0.1,0,0,0,3,0.14,,,,,,,,,,,,,
2020,스쿨존내어린이사고,1101,종로구,1,0.21,0,0,0,1,0.2,,,,,,,,,,,,,
2020,고령운전사고,1101,종로구,145,0.47,0,0,0,202,0.46,,,,,,,,,,,,,
2020,고령보행사고,1101,종로구,57,0.59,2,0.32,3.51,56,0.61,,,,,,,,,,,,,
2020,PM사고,1101,종로구,7,0.78,0,0,0,8,0.81,,,,,,,,,,,,,
2020,뺑소니사고,1101,종로구,31,0.42,0,0,0,44,0.42,,,,,,,,,,,,,
