,index,무인교통단속카메라관리번호,시도명,시군구명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,설치장소,단속구분,제한속도,단속구간위치구분,과속단속구간길이,보호구역구분,설치연도,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명,지역
2,704,43,서울특별시,강북구,일반국도,3번,삼양로,2,서울특별시 강북구 삼양로 416,,37.64061418,127.0171631,가오리소방서 앞 사거리,4,0,,,99,2020,서울특별시 강북구청,02-901-5964,2021-11-03,3080000,서울특별시 강북구,서울
3,705,44,서울특별시,강북구,일반국도,3번,삼양로,2,서울특별시 강북구 삼양로24길 19,,37.61744965,127.0219965,송천동 성당 앞,4,0,,,99,2020,서울특별시 강북구청,02-901-5964,2021-11-03,3080000,서울특별시 강북구,서울
4,706,45,서울특별시,강북구,일반국도,3번,삼양로,2,서울특별시 강북구 삼양로54길 60,,37.62328133,127.0213105,강북청소년문화정보도서관 인근,4,0,,,99,2020,서울특별시 강북구청,02-901-5964,2021-11-03,3080000,서울특별시 강북구,서울
23,750,35,서울특별시,강북구,일반국도,3번,오패산로,3,서울특별시 강북구 오패산로30길 30,,37.61635549,127.0356169,경남아너스빌 103동,4,0,,,99,2018,서울특별시 강북구청,02-901-5964,2021-11-03,3080000,서울특별시 강북구,서울
24,751,36,서울특별시,강북구,일반국도,3번,솔샘로,3,서울특별시 강북구 솔샘로 331,,37.61739162,127.0291006,조이마트,4,0,,,99,2018,서울특별시 강북구청,02-901-5964,2021-11-03,3080000,서울특별시 강북구,서울
25,752,37,서울특별시,강북구,일반국도,3번,삼양로,3,서울특별시 강북구 삼양로77길 95,,37.6277126,127.0130457,삼흥연립,4,0,,,99,2018,서울특별시 강북구청,02-901-5964,2021-11-03,3080000,서울특별시 강북구,서울
26,753,38,서울특별시,강북구,일반국도,3번,삼양로,3,서울특별시 강북구 삼양로77길 66,,37.6287011,127.0149752,빨래곳 방앗간,4,0,,,99,2018,서울특별시 강북구청,02-901-5964,2021-11-03,3080000,서울특별시 강북구,서울
27,754,39,서울특별시,강북구,일반국도,3번,삼양로,3,서울특별시 강북구 삼양로77길 38,,37.6294416,127.0161425,한빛예술단,4,0,,,99,2018,서울특별시 강북구청,02-901-5964,2021-11-03,3080000,서울특별시 강북구,서울
28,755,40,서울특별시,강북구,일반국도,3번,삼양로,3,서울특별시 강북구 삼양로145길 7,,37.65154554,127.0122203,솔밭근린공원,4,0,,,99,2020,서울특별시 강북구청,02-901-5964,2021-11-03,3080000,서울특별시 강북구,서울
29,756,41,서울특별시,강북구,일반국도,3번,솔샘로,1,서울특별시 강북구 솔샘로 229-1,,37.62014362,127.0182276,미양 온누리약국,4,0,,,99,2020,서울특별시 강북구청,02-901-5964,2021-11-03,3080000,서울특별시 강북구,서울
