index,행정구역,시설종류,대상시설명,위도,경도,CARI,CARI300
0,노원구,초등학교,화랑초교,37.626918,127.093803,0.0,0.0
1,노원구,초등학교,공릉초교,37.61861498,127.0746307,0.36,0.0
2,노원구,초등학교,중원초교,37.64398283,127.0627678,1.23,0.5
3,노원구,초등학교,원광초교,37.65431182,127.0749157,0.89,0.29
4,노원구,학원,국풍2000학원,37.65063148,127.0767028,0.89,0.89
5,노원구,학원,모멘텀아스트라학원,37.65063148,127.0767028,0.89,0.89
6,노원구,학원,소마사고력수학학원,37.65063148,127.0767028,0.89,0.89
7,노원구,학원,아발론랭콘중계어학원,37.65063148,127.0767028,0.89,0.89
8,노원구,학원,알로곤영재센터학원,37.65063148,127.0767028,0.89,0.89
9,노원구,학원,올림피아드영재센터학원,37.65063148,127.0767028,0.89,0.89
10,노원구,유치원,예진유치원,37.62802146,127.0683959,0.0,0.0
11,노원구,유치원,한울유치원,37.66850739,127.0808148,0.0,0.0
12,노원구,유치원,노일유치원,37.6726010269,127.0535507725,0.58,0.0
13,노원구,초등학교,덕암초교,37.66662210000001,127.081468,0.0,0.0
14,노원구,초등학교,수암초교,37.64769427,127.0814631,0.89,0.0
15,노원구,초등학교,계상초교,37.66219741,127.0686766,0.0,0.0
16,노원구,초등학교,청원초교,37.66525335,127.0625319,0.0,0.0
17,노원구,초등학교,상곡초교,37.66290383,127.06207659999998,0.0,0.0
18,노원구,초등학교,온곡초교,37.6675405407,127.0659114,0.0,0.0
19,노원구,초등학교,수락초교,37.68450193,127.0551836,0.63,0.0
20,노원구,초등학교,상천초교,37.646282,127.0578068,0.97,0.0
21,노원구,초등학교,당현초교,37.64825944,127.05821170000002,0.67,0.0
22,노원구,초등학교,상명초교,37.64872329999999,127.066969,1.55,0.0
23,노원구,초등학교,청계초교,37.64503334,127.0661408,1.32,0.24
24,노원구,초등학교,연지초교,37.63319071,127.0595368,0.68,0.0
25,노원구,초등학교,용원초교,37.62992402,127.0689414,0.09,0.0
26,노원구,초등학교,중평초교,37.63753475,127.0639634,1.23,0.47
27,노원구,초등학교,태랑초교,37.62625137,127.0906018,0.0,0.0
28,노원구,초등학교,태강삼육,37.64335827,127.1088514,0.0,0.0
29,노원구,유치원,태랑병설유치원,37.62625137,127.0906018,0.0,0.0
30,노원구,유치원,연촌병설유치원,37.634416,127.0725121,0.49,0.0
31,노원구,유치원,신상계병설유치원,37.6675178246,127.0758263316,0.0,0.0
32,노원구,유치원,수암병설유치원,37.64769427,127.0814631,0.89,0.0
33,노원구,유치원,수락병설유치원,37.68450193,127.0551836,0.63,0.0
34,노원구,유치원,상곡병설유치원,37.66290383,127.06207659999998,0.0,0.0
35,노원구,유치원,상경병설유치원,37.67055277,127.0516731,0.09,0.0
36,노원구,유치원,동일병설유치원,37.6648142,127.0541716,0.0,0.0
37,노원구,유치원,공릉병설유치원,37.61861498,127.0746307,0.36,0.0
38,노원구,유치원,보배유치원,37.62860841,127.0627957,0.0,0.0
39,노원구,유치원,미광유치원,37.623341,127.0821207,0.0,0.0
40,노원구,유치원,두솔유치원,37.629541,127.054129,0.13,0.0
41,노원구,유치원,대원유치원,37.6698575,127.05874540000002,0.02,0.0
42,노원구,유치원,다연유치원,37.63175975,127.0523395,0.48,0.0
43,노원구,유치원,꿈터유치원,37.672736,127.06006200000002,0.49,0.0
44,노원구,유치원,꽃동산유치원,37.6307787,127.0739994,0.0,0.0
45,노원구,유치원,염광유치원,37.63025824,127.0492435,1.21,0.0
46,노원구,유치원,청원유치원,37.664624,127.065958,0.0,0.0
47,노원구,유치원,초안유치원,37.63067857,127.0434525,1.69,0.41
48,노원구,유치원,고운유치원,37.64403460000001,127.0669285,1.28,0.27
49,노원구,유치원,동화나라유치원,37.66669216,127.0791264,0.0,0.0
50,노원구,유치원,까치유치원,37.65624847,127.07278259999998,0.89,0.0
51,노원구,유치원,선덕유치원,37.6330641,127.0671226,0.71,0.0
52,노원구,유치원,학여울유치원,37.63724446,127.0608678,1.23,0.14
53,노원구,유치원,한성유치원,37.64058736,127.07598059999998,0.36,0.0
54,노원구,유치원,사라유치원,37.629848,127.0726209,0.0,0.0
55,노원구,유치원,성실유치원,37.63894724,127.0707082,1.23,0.0
56,노원구,유치원,보고유치원,37.6196000866,127.061381,0.37,0.0
57,노원구,유치원,아이디유치원,37.65916904,127.057173,0.0,0.0
58,노원구,유치원,성희유치원,37.65081562,127.0561513,0.07,0.0
59,노원구,유치원,연세유치원,37.63828504,127.0627132,1.23,0.51
60,노원구,유치원,상원유치원,37.64348576,127.0687546,1.4,0.06
61,노원구,유치원,연지유치원,37.63295597,127.0604882,0.68,0.0
62,노원구,학원,조재필 수학학원,37.65063148,127.0767028,0.89,0.89
63,노원구,학원,중계덕스어학원,37.65063148,127.0767028,0.89,0.89
64,노원구,학원,중계미래탐구초등연재센터학원,37.65063148,127.0767028,0.89,0.89
65,노원구,학원,중계세일입시학원,37.65063148,127.0767028,0.89,0.89
66,노원구,학원,청담어학원,37.65063148,127.0767028,0.89,0.89
67,노원구,학원,최선어학원,37.65063148,127.0767028,0.89,0.89
68,노원구,학원,토피아,37.65063148,127.0767028,0.89,0.89
69,노원구,학원,하이레벨수학전문학원,37.65063148,127.0767028,0.89,0.89
70,노원구,학원,CMS중계중등영재2관학원,37.65063148,127.0767028,0.89,0.89
71,노원구,학원,TOPIAenglishzone어학학원,37.65063148,127.0767028,0.89,0.89
72,노원구,학원,크레용미술학원,37.65219729,127.0723141,0.89,0.26
73,노원구,학원,페디아플러스 중계학원,37.65219729,127.0723141,0.89,0.26
74,노원구,학원,웅진북클럽 학습센터 중계학원,37.65219729,127.0723141,0.89,0.26
75,노원구,학원,씨앤에이논술보습학원,37.65219729,127.0723141,0.89,0.26
76,강서구,어린이집,에반어린이집,37.53211181,126.84795859999998,2.72,0.76
77,강서구,어린이집,구립까치산어린이집,37.53238327,126.8485149,2.72,0.84
78,강서구,어린이집,배다리어린이집,37.53127824,126.8395428,0.8,0.0
79,강서구,어린이집,버클리어린이집,37.55247286,126.8301226,2.07,0.15
