무인교통단속카메라관리번호,시도명,시군구명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,설치장소,단속구분,제한속도,단속구간위치구분,과속단속구간길이,보호구역구분,설치연도,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
34,서울특별시,강북구,일반국도,3번,한천로,2,서울특별시 강북구 한천로139길 46,,37.63867752,127.0247355,cu수유중앙점,4,0,,,99,2013,서울특별시 강북구청,02-901-5964,2021-11-03,3080000,서울특별시 강북구
33,서울특별시,강북구,일반국도,3번,한천로,2,서울특별시 강북구 한천로139길 25,,37.639008,127.0257237,강북구청,4,0,,,99,2013,서울특별시 강북구청,02-901-5964,2021-11-03,3080000,서울특별시 강북구
43,서울특별시,강북구,일반국도,3번,삼양로,2,서울특별시 강북구 삼양로 416,,37.64061418,127.0171631,가오리소방서 앞 사거리,4,0,,,99,2020,서울특별시 강북구청,02-901-5964,2021-11-03,3080000,서울특별시 강북구
44,서울특별시,강북구,일반국도,3번,삼양로,2,서울특별시 강북구 삼양로24길 19,,37.61744965,127.0219965,송천동 성당 앞,4,0,,,99,2020,서울특별시 강북구청,02-901-5964,2021-11-03,3080000,서울특별시 강북구
45,서울특별시,강북구,일반국도,3번,삼양로,2,서울특별시 강북구 삼양로54길 60,,37.62328133,127.0213105,강북청소년문화정보도서관 인근,4,0,,,99,2020,서울특별시 강북구청,02-901-5964,2021-11-03,3080000,서울특별시 강북구
15,서울특별시,강북구,고속국도,3번,한천로,1,서울특별시 강북구 한천로 1019,,37.63886777,127.028174,토마토24시,4,0,,,99,2013,서울특별시 강북구청,02-901-5964,2021-11-03,3080000,서울특별시 강북구
16,서울특별시,강북구,고속국도,3번,오패산로,1,서울특별시 강북구 오패산로 406,,37.63717057,127.0270418,강북경찰서,4,0,,,99,2013,서울특별시 강북구청,02-901-5964,2021-11-03,3080000,서울특별시 강북구
17,서울특별시,강북구,고속국도,3번,오패산로,1,서울특별시 강북구 오패산로 390,,37.63616116,127.0283511,gs25시,4,0,,,99,2013,서울특별시 강북구청,02-901-5964,2021-11-03,3080000,서울특별시 강북구
18,서울특별시,강북구,고속국도,3번,덕릉로,1,서울특별시 강북구 덕릉로 108,,37.63465894,127.0256451,강북여성인력개발센터,4,0,,,99,2013,서울특별시 강북구청,02-901-5964,2021-11-03,3080000,서울특별시 강북구
19,서울특별시,강북구,일반국도,3번,덕릉로,2,서울특별시 강북구 덕릉로 136,,37.63484922,127.0287721,창강빌딩,4,0,,,99,2013,서울특별시 강북구청,02-901-5964,2021-11-03,3080000,서울특별시 강북구
