,level_0,index,무인교통단속카메라관리번호,시도명,시군구명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,설치장소,단속구분,제한속도,단속구간위치구분,과속단속구간길이,보호구역구분,설치연도,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명,지역,보호구역
0,47,2275,주차58,서울특별시,강동구,시도,0,상일로,3.0,서울특별시 강동구 상일로11길 110,서울특별시 강동구 상일동 520-5,37.553392,127.165104,고현초교 앞,4,0,,200.0,2.0,2020.0,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구,서울,어린이
1,48,2276,주차59,서울특별시,강동구,시도,0,양재대로,3.0,서울특별시 강동구 양재대로156길 11,서울특별시 강동구 고덕동 487-15,37.556636,127.144803,명덕초교 앞,4,0,,200.0,2.0,2020.0,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구,서울,어린이
2,50,2278,주차61,서울특별시,강동구,시도,0,구천면로,1.0,서울특별시 강동구 구천면로93길 20,서울특별시 강동구 상일동 125,37.55154262,127.168561,고일초교 앞,4,0,,200.0,2.0,2020.0,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구,서울,어린이
3,51,2279,주차62,서울특별시,강동구,시도,0,고덕로,1.0,서울특별시 강동구 고덕로46길 53,서울특별시 강동구 명일동 296-1,37.552208,127.146122,고명초교 앞,4,0,,200.0,2.0,2020.0,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구,서울,어린이
4,52,2280,주차63,서울특별시,강동구,시도,0,아리수로,3.0,서울특별시 강동구 아리수로98길 24,서울특별시 강동구 강일동 685,37.564392,127.178237,강일초교 앞,4,0,,200.0,2.0,2020.0,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구,서울,어린이
5,53,2281,주차64,서울특별시,강동구,시도,0,명일로,1.0,서울특별시 강동구 명일로 262,서울특별시 강동구 길동 82-4,37.54202100000001,127.147479,강동에코포레,4,0,,200.0,2.0,2020.0,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구,서울,어린이
6,55,2283,주차66,서울특별시,강동구,시도,0,고덕로,3.0,서울특별시 강동구 고덕로97길 80,서울특별시 강동구 강일동 694,37.5618696246,127.1802670557,강솔초교 앞,4,0,,200.0,2.0,2020.0,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구,서울,어린이
7,60,2476,주정차단속-095,서울특별시,마포구,구도,48,월드컵북로,3.0,서울특별시 마포구 월드컵북로 502,,37.58504618,126.879871,하늘초등학교 주변,4,0,,,2.0,2007.0,마포구청,02-3153-9655,2020-10-29,3130000,서울특별시 마포구,서울,어린이
8,61,2477,주정차단속-096,서울특별시,마포구,구도,212,월드컵로42길,3.0,서울특별시 마포구 월드컵로42길13,,37.5787582,126.88080490000002,서부면허시험장 앞,4,0,,,2.0,2010.0,마포구청,02-3153-9655,2020-10-29,3130000,서울특별시 마포구,서울,어린이
9,63,2479,주정차단속-098,서울특별시,마포구,구도,없음,대흥로20길,3.0,서울특별시 마포구 대흥로20길 28,,37.5499060881,126.946079,마포자이A3차주변,4,0,,,2.0,2019.0,마포구청,02-3153-9655,2020-10-29,3130000,서울특별시 마포구,서울,어린이
