,Unnamed: 0,사고다발지FID,연도,법정동코드,지점코드,행정구역,지점명,발생건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도,다발지역폴리곤,지역
0,0,6141105,2016,1126010400,11260001,중랑구,서울특별시 중랑구 묵동(묵현초교 부근),3,3,0,0,3,0,127.075014,37.60834366,"{""type"":""Polygon"",""coordinates"":[[[127.07770897,37.60834366],[127.07765719,37.60792715],[127.07750383,37.60752665],[127.07725479,37.60715754],[127.07691964,37.60683401],[127.07651126,37.6065685],[127.07604534,37.60637121],[127.07553978,37.60624971],[127.07501402,37.60620869],[127.07448827,37.60624971],[127.07398271,37.60637121],[127.07351679,37.6065685],[127.07310841,37.60683401],[127.07277326,37.60715754],[127.07252422,37.60752665],[127.07237086,37.60792715],[127.07231908,37.60834366],[127.07237086,37.60876016],[127.07252422,37.60916066],[127.07277326,37.60952976],[127.07310841,37.60985327],[127.07351679,37.61011877],[127.07398271,37.61031606],[127.07448827,37.61043755],[127.07501402,37.61047857],[127.07553978,37.61043755],[127.07604534,37.61031606],[127.07651126,37.61011877],[127.07691964,37.60985327],[127.07725479,37.60952976],[127.07750383,37.60916066],[127.07765719,37.60876016],[127.07770897,37.60834366]]]}",서울
1,1,6107962,2016,1129013800,11290001,성북구,서울특별시 성북구 장위동(장위초교 부근),3,3,0,0,3,0,127.0482841,37.61118575,"{""type"":""Polygon"",""coordinates"":[[[127.05097904,37.61118575],[127.05092726,37.61076926],[127.0507739,37.61036877],[127.05052486,37.60999968],[127.05018971,37.60967617],[127.04978133,37.60941066],[127.04931541,37.60921338],[127.04880986,37.60909189],[127.0482841,37.60905087],[127.04775834,37.60909189],[127.04725279,37.60921338],[127.04678687,37.60941066],[127.04637848,37.60967617],[127.04604333,37.60999968],[127.04579429,37.61036877],[127.04564093,37.61076926],[127.04558915,37.61118575],[127.04564093,37.61160224],[127.04579429,37.61200272],[127.04604333,37.61237181],[127.04637848,37.61269531],[127.04678687,37.6129608],[127.04725279,37.61315808],[127.04775834,37.61327956],[127.0482841,37.61332058],[127.04880986,37.61327956],[127.04931541,37.61315808],[127.04978133,37.6129608],[127.05018971,37.61269531],[127.05052486,37.61237181],[127.0507739,37.61200272],[127.05092726,37.61160224],[127.05097904,37.61118575]]]}",서울
2,2,6107948,2016,1132010700,11320001,도봉구,서울특별시 도봉구 창동(창원초교 부근),3,3,0,2,1,0,127.0410227,37.65341616,"{""type"":""Polygon"",""coordinates"":[[[127.04371766,37.65341616],[127.04366588,37.65299991],[127.04351252,37.65259965],[127.04326348,37.65223077],[127.04292833,37.65190743],[127.04251995,37.65164208],[127.04205403,37.65144491],[127.04154847,37.65132349],[127.04102272,37.65128249],[127.04049696,37.65132349],[127.03999141,37.65144491],[127.03952548,37.65164208],[127.0391171,37.65190743],[127.03878195,37.65223077],[127.03853291,37.65259965],[127.03837955,37.65299991],[127.03832777,37.65341616],[127.03837955,37.65383242],[127.03853291,37.65423267],[127.03878195,37.65460154],[127.0391171,37.65492486],[127.03952548,37.6551902],[127.03999141,37.65538737],[127.04049696,37.65550878],[127.04102272,37.65554978],[127.04154847,37.65550878],[127.04205403,37.65538737],[127.04251995,37.6551902],[127.04292833,37.65492486],[127.04326348,37.65460154],[127.04351252,37.65423267],[127.04366588,37.65383242],[127.04371766,37.65341616]]]}",서울
3,3,6139185,2016,1154510300,11545001,금천구,서울특별시 금천구 시흥동(문백초교 부근),1,1,1,0,0,0,126.9000582,37.44943793,"{""type"":""Polygon"",""coordinates"":[[[126.90275316,37.44943793],[126.90270137,37.44902053],[126.90254801,37.44861917],[126.90229898,37.44824928],[126.90196382,37.44792506],[126.90155544,37.44765898],[126.90108952,37.44746127],[126.90058397,37.44733952],[126.90005821,37.4472984],[126.89953245,37.44733952],[126.8990269,37.44746127],[126.89856098,37.44765898],[126.8981526,37.44792506],[126.89781744,37.44824928],[126.8975684,37.44861917],[126.89741505,37.44902053],[126.89736326,37.44943793],[126.89741505,37.44985532],[126.8975684,37.45025667],[126.89781744,37.45062655],[126.8981526,37.45095076],[126.89856098,37.45121683],[126.8990269,37.45141453],[126.89953245,37.45153628],[126.90005821,37.45157739],[126.90058397,37.45153628],[126.90108952,37.45141453],[126.90155544,37.45121683],[126.90196382,37.45095076],[126.90229898,37.45062655],[126.90254801,37.45025667],[126.90270137,37.44985532],[126.90275316,37.44943793]]]}",서울
4,4,6229749,2017,1111017500,11110001,종로구,서울특별시 종로구 숭인동(창신초교 부근),2,2,0,0,1,1,127.0155717,37.57661029,"{""type"":""Polygon"",""coordinates"":[[[127.01826665,37.57661029],[127.01821487,37.57619361],[127.01806151,37.57579293],[127.01781247,37.57542367],[127.01747732,37.5751],[127.01706894,37.57483438],[127.01660302,37.574637],[127.01609747,37.57451545],[127.01557171,37.57447441],[127.01504595,37.57451545],[127.0145404,37.574637],[127.01407448,37.57483438],[127.01366609,37.5751],[127.01333094,37.57542367],[127.0130819,37.57579293],[127.01292855,37.57619361],[127.01287676,37.57661029],[127.01292855,37.57702697],[127.0130819,37.57742764],[127.01333094,37.5777969],[127.01366609,37.57812055],[127.01407448,37.57838616],[127.0145404,37.57858353],[127.01504595,37.57870507],[127.01557171,37.57874611],[127.01609747,37.57870507],[127.01660302,37.57858353],[127.01706894,37.57838616],[127.01747732,37.57812055],[127.01781247,37.5777969],[127.01806151,37.57742764],[127.01821487,37.57702697],[127.01826665,37.57661029]]]}",서울
5,5,6230385,2017,1129013400,11290001,성북구,서울특별시 성북구 길음동(미아초교 부근),2,2,0,1,1,0,127.0224493,37.61074912,"{""type"":""Polygon"",""coordinates"":[[[127.02514423,37.61074912],[127.02509244,37.61033263],[127.02493909,37.60993214],[127.02469005,37.60956304],[127.0243549,37.60923953],[127.02394651,37.60897402],[127.02348059,37.60877674],[127.02297504,37.60865525],[127.02244928,37.60861422],[127.02192352,37.60865525],[127.02141797,37.60877674],[127.02095205,37.60897402],[127.02054367,37.60923953],[127.02020852,37.60956304],[127.01995948,37.60993214],[127.01980612,37.61033263],[127.01975433,37.61074912],[127.01980612,37.61116562],[127.01995948,37.6115661],[127.02020852,37.61193518],[127.02054367,37.61225869],[127.02095205,37.61252418],[127.02141797,37.61272146],[127.02192352,37.61284294],[127.02244928,37.61288396],[127.02297504,37.61284294],[127.02348059,37.61272146],[127.02394651,37.61252418],[127.0243549,37.61225869],[127.02469005,37.61193518],[127.02493909,37.6115661],[127.02509244,37.61116562],[127.02514423,37.61074912]]]}",서울
6,6,6229747,2017,1129013800,11290002,성북구,서울특별시 성북구 장위동(장위초교 부근),2,2,0,0,2,0,127.05083159999998,37.61342545,"{""type"":""Polygon"",""coordinates"":[[[127.05352655,37.61342545],[127.05347477,37.61300897],[127.05332141,37.61260849],[127.05307237,37.61223941],[127.05273722,37.61191591],[127.05232884,37.61165041],[127.05186292,37.61145313],[127.05135737,37.61133165],[127.05083161,37.61129063],[127.05030585,37.61133165],[127.0498003,37.61145313],[127.04933438,37.61165041],[127.04892599,37.61191591],[127.04859084,37.61223941],[127.0483418,37.61260849],[127.04818845,37.61300897],[127.04813666,37.61342545],[127.04818845,37.61384192],[127.0483418,37.61424239],[127.04859084,37.61461147],[127.04892599,37.61493496],[127.04933438,37.61520044],[127.0498003,37.61539771],[127.05030585,37.61551919],[127.05083161,37.61556021],[127.05135737,37.61551919],[127.05186292,37.61539771],[127.05232884,37.61520044],[127.05273722,37.61493496],[127.05307237,37.61461147],[127.05332141,37.61424239],[127.05347477,37.61384192],[127.05352655,37.61342545]]]}",서울
7,7,6230072,2017,1130510100,11305001,강북구,서울특별시 강북구 미아동(수유초교 부근),3,3,0,0,3,0,127.020341,37.63047748,"{""type"":""Polygon"",""coordinates"":[[[127.0230359,37.63047748],[127.02298411,37.6300611],[127.02283076,37.62966072],[127.02258172,37.62929172],[127.02224656,37.62896829],[127.02183818,37.62870285],[127.02137226,37.62850562],[127.02086671,37.62838416],[127.02034095,37.62834315],[127.01981519,37.62838416],[127.01930964,37.62850562],[127.01884372,37.62870285],[127.01843534,37.62896829],[127.01810018,37.62929172],[127.01785115,37.62966072],[127.01769779,37.6300611],[127.017646,37.63047748],[127.01769779,37.63089386],[127.01785115,37.63129424],[127.01810018,37.63166323],[127.01843534,37.63198665],[127.01884372,37.63225207],[127.01930964,37.63244929],[127.01981519,37.63257075],[127.02034095,37.63261175],[127.02086671,37.63257075],[127.02137226,37.63244929],[127.02183818,37.63225207],[127.02224656,37.63198665],[127.02258172,37.63166323],[127.02283076,37.63129424],[127.02298411,37.63089386],[127.0230359,37.63047748]]]}",서울
8,8,6229762,2017,1138010700,11380001,은평구,서울특별시 은평구 응암동(유진유치원 부근),2,2,0,1,1,0,126.9194422,37.58725416,"{""type"":""Polygon"",""coordinates"":[[[126.92213718,37.58725416],[126.9220854,37.58683753],[126.92193204,37.58643692],[126.921683,37.58606771],[126.92134785,37.58574409],[126.92093947,37.5854785],[126.92047355,37.58528115],[126.91996799,37.58515962],[126.91944223,37.58511859],[126.91891648,37.58515962],[126.91841092,37.58528115],[126.917945,37.5854785],[126.91753662,37.58574409],[126.91720147,37.58606771],[126.91695243,37.58643692],[126.91679907,37.58683753],[126.91674729,37.58725416],[126.91679907,37.58767078],[126.91695243,37.58807139],[126.91720147,37.58844059],[126.91753662,37.5887642],[126.917945,37.58902978],[126.91841092,37.58922712],[126.91891648,37.58934864],[126.91944223,37.58938967],[126.91996799,37.58934864],[126.92047355,37.58922712],[126.92093947,37.58902978],[126.92134785,37.5887642],[126.921683,37.58844059],[126.92193204,37.58807139],[126.9220854,37.58767078],[126.92213718,37.58725416]]]}",서울
9,9,6230384,2017,1153010200,11530001,구로구,서울특별시 구로구 구로동(신구로초교 부근),2,2,0,0,1,1,126.8901382,37.49924066,"{""type"":""Polygon"",""coordinates"":[[[126.89283315,37.49924066],[126.89278137,37.49882354],[126.89262801,37.49842245],[126.89237897,37.49805281],[126.89204382,37.4977288],[126.89163543,37.4974629],[126.89116951,37.49726532],[126.89066396,37.49714365],[126.8901382,37.49710256],[126.88961244,37.49714365],[126.88910689,37.49726532],[126.88864097,37.4974629],[126.88823259,37.4977288],[126.88789744,37.49805281],[126.8876484,37.49842245],[126.88749504,37.49882354],[126.88744326,37.49924066],[126.88749504,37.49965778],[126.8876484,37.50005886],[126.88789744,37.5004285],[126.88823259,37.50075249],[126.88864097,37.50101838],[126.88910689,37.50121595],[126.88961244,37.50133762],[126.8901382,37.5013787],[126.89066396,37.50133762],[126.89116951,37.50121595],[126.89163543,37.50101838],[126.89204382,37.50075249],[126.89237897,37.5004285],[126.89262801,37.50005886],[126.89278137,37.49965778],[126.89283315,37.49924066]]]}",서울
