,시설종류,대상시설명,행정구역,경도,위도,다발지역사고건수,다발지역KSI,스쿨존사고건수,스쿨존KSI,ARI
1109,유치원,화일초등학교병설유치원,강서구,126.847465,37.54071221,14,6,5,1,4.05
1108,초등학교,화일초등학교,강서구,126.847465,37.54071221,14,6,5,1,4.05
306,어린이집,강동무지개어린이집,강동구,127.14066409999998,37.54460484,13,4,3,2,3.42
1130,유치원,예은유치원,강서구,126.847243,37.538834,14,6,2,0,3.42
300,어린이집,라온어린이집,강동구,127.1393804,37.5431379,13,4,2,1,3.16
340,어린이집,한양어린이집,강동구,127.14281470000002,37.5435458,13,4,2,1,3.16
555,초등학교,천호초등학교,강동구,127.1365923,37.54771897,13,2,1,1,2.86
1099,어린이집,텀블랜드,서초구,127.039679,37.479239586999995,10,6,2,1,2.78
441,어린이집,선우어린이집,강남구,127.0385091,37.490733,10,5,2,1,2.68
651,어린이집,꿈나무어린이집,동작구,126.9229536,37.50461575,12,5,0,0,2.6
299,어린이집,반석어린이집,강동구,127.1473249,37.54281137,10,4,2,1,2.6
1075,초등학교,신곡초등학교,강서구,126.8560116,37.5390734,10,5,2,0,2.6
1123,유치원,우일유치원,강서구,126.855313,37.5351277,10,5,2,0,2.6
719,유치원,성모유치원,영등포구,126.9215852,37.50555535,12,5,0,0,2.6
1119,유치원,새싹유치원,강서구,126.8580387,37.53221274,10,5,2,0,2.6
1115,유치원,신영유치원,강서구,126.849217,37.530958,10,5,2,0,2.6
491,유치원,사랑유치원,동작구,126.9211621,37.49840123,12,5,0,0,2.6
426,학원,대방유투엠학원,동작구,126.924346,37.505128000000006,12,5,0,0,2.6
729,초등학교,대방초등학교,영등포구,126.9190202,37.50290012,12,5,0,0,2.6
86,학원,스터디플랜독서실,강서구,126.856235,37.53493717,10,5,2,0,2.6
76,어린이집,에반어린이집,강서구,126.84795859999998,37.53211181,10,5,2,0,2.6
77,어린이집,구립까치산어린이집,강서구,126.8485149,37.53238327,10,5,2,0,2.6
1140,어린이집,하늘어린이집,강서구,126.8514134,37.53900534,10,5,2,0,2.6
1081,초등학교,신정초등학교,강서구,126.8523594,37.53207243,10,5,2,0,2.6
81,어린이집,꿈을여는어린이집,강서구,126.8592773,37.53353374,10,5,2,0,2.6
914,어린이집,하정어린이집,영등포구,126.922179,37.505832,12,5,0,0,2.6
1146,어린이집,어린왕자어린이집,강서구,126.846277,37.53506239,10,5,2,0,2.6
916,어린이집,은석어린이집,영등포구,126.9187041,37.498165,12,5,0,0,2.6
562,초등학교,대림초등학교,동작구,126.9248853,37.50061292,12,5,0,0,2.6
582,유치원,반석유치원,강동구,127.1473249,37.54281137,10,4,2,1,2.6
581,유치원,한성유치원,강동구,127.1468757,37.54122987,10,4,2,1,2.6
264,유치원,삼성유치원,서대문구,126.9194105,37.58158755,9,5,2,1,2.51
1600,초등학교,연가초등학교,서대문구,126.9173296,37.57956428,9,5,2,1,2.51
553,초등학교,천동초등학교,강동구,127.1378287,37.5410159,10,2,2,1,2.47
557,유치원,화랑유치원,강동구,127.1378446,37.5428867,10,2,2,1,2.47
358,초등학교,역삼초등학교,강남구,127.032603,37.49316115,7,5,2,1,2.16
489,유치원,명수유치원,동작구,126.96045259999998,37.50872103,5,3,4,3,2.16
357,초등학교,언주초등학교,강남구,127.036781,37.48632308,7,5,2,1,2.16
1205,초등학교,강남초등학교,동작구,126.953358,37.50615977,5,3,4,3,2.16
434,어린이집,흑석어린이집,동작구,126.9601642,37.49960807,5,3,4,3,2.16
433,어린이집,도레미어린이집,동작구,126.9591494,37.50992802,5,3,4,3,2.16
566,초등학교,본동초등학교,동작구,126.9538533,37.50992616,5,3,4,3,2.16
378,어린이집,성아어린이집,강남구,127.043583,37.484042,7,5,2,1,2.16
202,어린이집,서초구청직장,서초구,127.03141965530001,37.486422,7,5,2,1,2.16
391,유치원,역삼초등학교병설유치원,강남구,127.032603,37.49316115,7,5,2,1,2.16
655,어린이집,예담어린이집,동작구,126.9512421,37.5069456,5,3,4,3,2.16
1332,어린이집,양재복지관,서초구,127.0361644799,37.4845270215,7,5,2,1,2.16
483,초등학교,중대부속초등학교,동작구,126.9596784,37.5054521,5,3,4,3,2.16
482,초등학교,은로초등학교,동작구,126.9599999,37.5031946,5,3,4,3,2.16
498,유치원,중대부속유치원,동작구,126.9555972,37.50649050000001,5,3,4,3,2.16
503,유치원,은로초등학교 병설유치원,동작구,126.9599999,37.5031946,5,3,4,3,2.16
